Instancia,Algoritmo,Run,Tiempo_s
r206,CLASSIC,2,5.4097
r206,CLASSIC,3,5.5561
r206,CLASSIC,4,5.5485
r206,CLASSIC,5,5.4118
r206,CLASSIC,6,5.4916
r206,CLASSIC,7,5.4465
r206,CLASSIC,8,5.3768
r206,CLASSIC,9,5.5225
r206,CLASSIC,10,5.2892
r206,QLEARNING,1,4.5426
r206,QLEARNING,2,5.2313
r206,QLEARNING,3,4.4711
r206,QLEARNING,4,5.1029
r206,QLEARNING,5,4.65
r206,QLEARNING,6,4.7169
r206,QLEARNING,7,4.7911
r206,QLEARNING,8,4.6193
r206,QLEARNING,9,4.6351
r206,QLEARNING,10,5.2267
r207,CLASSIC,1,5.7798
r207,CLASSIC,2,5.675
r207,CLASSIC,3,6.0391
r207,CLASSIC,4,5.7826
r207,CLASSIC,5,5.9233
r207,CLASSIC,6,6.1737
r207,CLASSIC,7,6.0925
r207,CLASSIC,8,5.8782
r207,CLASSIC,9,5.8348
r207,CLASSIC,10,5.9551
r207,QLEARNING,1,4.9966
r207,QLEARNING,2,5.1754
r207,QLEARNING,3,5.0965
r207,QLEARNING,4,4.9084
r207,QLEARNING,5,5.541
r207,QLEARNING,6,5.4182
r207,QLEARNING,7,5.7635
r207,QLEARNING,8,5.2646
r207,QLEARNING,9,5.1855
r207,QLEARNING,10,4.9947
r208,CLASSIC,1,5.5551
r208,CLASSIC,2,6.0106
r208,CLASSIC,3,5.7322
r208,CLASSIC,4,5.5675
r208,CLASSIC,5,5.9877
r208,CLASSIC,6,5.5364
r208,CLASSIC,7,5.6882
r208,CLASSIC,8,5.6807
r208,CLASSIC,9,5.5649
r208,CLASSIC,10,5.764
r208,QLEARNING,1,5.1896
r208,QLEARNING,2,4.9305
r208,QLEARNING,3,5.1772
r208,QLEARNING,4,5.5961
r208,QLEARNING,5,4.8707
r208,QLEARNING,6,5.0609
r208,QLEARNING,7,4.9439
r208,QLEARNING,8,5.1964
r208,QLEARNING,9,4.85
r208,QLEARNING,10,4.9482
r209,CLASSIC,1,5.4352
r209,CLASSIC,2,5.399
r209,CLASSIC,3,5.3885
r209,CLASSIC,4,5.2541
r209,CLASSIC,5,5.5225
r209,CLASSIC,6,5.5431
r209,CLASSIC,7,5.2968
r209,CLASSIC,8,5.3656
r209,CLASSIC,9,5.6384
r209,CLASSIC,10,5.2844
r209,QLEARNING,1,4.5759
r209,QLEARNING,2,4.5436
r209,QLEARNING,3,4.8175
r209,QLEARNING,4,4.6227
r209,QLEARNING,5,4.874
r209,QLEARNING,6,4.4696
r209,QLEARNING,7,4.7032
r209,QLEARNING,8,4.6465
r209,QLEARNING,9,5.007
r209,QLEARNING,10,4.5914
r210,CLASSIC,1,5.6262
r210,CLASSIC,2,5.6294
r210,CLASSIC,3,5.6133
r210,CLASSIC,4,5.596
r210,CLASSIC,5,5.5797
r210,CLASSIC,6,5.6279
r210,CLASSIC,7,5.719
r210,CLASSIC,8,5.6037
r210,CLASSIC,9,5.7983
r210,CLASSIC,10,5.543
r210,QLEARNING,1,4.6649
r210,QLEARNING,2,4.9346
r210,QLEARNING,3,4.5984
r210,QLEARNING,4,4.8455
r210,QLEARNING,5,4.7871
r210,QLEARNING,6,4.8005
r210,QLEARNING,7,4.6846
r210,QLEARNING,8,4.8163
r210,QLEARNING,9,4.9055
r210,QLEARNING,10,4.9945
r211,CLASSIC,1,5.6712
r211,CLASSIC,2,5.5939
r211,CLASSIC,3,5.4808
r211,CLASSIC,4,5.4609
r211,CLASSIC,5,5.6867
r211,CLASSIC,6,5.8254
r211,CLASSIC,7,5.6119
r211,CLASSIC,8,5.932
r211,CLASSIC,9,5.5059
r211,CLASSIC,10,5.6736
r211,QLEARNING,1,5.1851
r211,QLEARNING,2,5.2802
r211,QLEARNING,3,5.4336
r211,QLEARNING,4,4.7416
r211,QLEARNING,5,5.0702
r211,QLEARNING,6,4.9865
r211,QLEARNING,7,4.7893
r211,QLEARNING,8,5.2899
r211,QLEARNING,9,4.8845
r211,QLEARNING,10,4.8856
rc101,CLASSIC,1,5.1296
rc101,CLASSIC,2,5.2924
rc101,CLASSIC,3,5.2104
rc101,CLASSIC,4,5.2745
rc101,CLASSIC,5,5.1897
rc101,CLASSIC,6,5.2203
rc101,CLASSIC,7,5.3246
rc101,CLASSIC,8,4.9909
rc101,CLASSIC,9,5.2402
rc101,CLASSIC,10,5.1217
rc101,QLEARNING,1,4.0481
rc101,QLEARNING,2,4.2314
rc101,QLEARNING,3,4.4572
rc101,QLEARNING,4,4.2131
rc101,QLEARNING,5,4.2479
rc101,QLEARNING,6,3.9896
rc101,QLEARNING,7,5.0166
rc101,QLEARNING,8,4.0728
rc101,QLEARNING,9,3.9317
