iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
137,0,12,1384.39,12,1384.39,0,2,0,263.009,0.139723,0.114248,0.505182,0.240847,0.133593,0.306749,0.35891,0.200748
138,0,12,1384.39,12,1384.39,1,3,0,262.878,0.127219,0.115883,0.512567,0.244331,0.143925,0.330528,0.309256,0.216291
139,0,12,1384.39,12,1384.39,2,0,0,262.746,0.128449,0.107157,0.517668,0.246726,0.149171,0.342632,0.320576,0.187621
140,0,12,1384.39,12,1384.39,2,1,0,262.615,0.144155,0.120255,0.458661,0.27693,0.132547,0.349337,0.326846,0.19127
141,0,12,1384.39,12,1384.39,0,3,0,262.484,0.159259,0.13285,0.401905,0.305986,0.142375,0.301017,0.351143,0.205466
142,0,12,1384.39,12,1384.39,0,0,0,262.352,0.142013,0.135552,0.410172,0.312263,0.146968,0.310775,0.362536,0.179721
143,0,12,1384.39,12,1384.39,3,0,0,262.221,0.127843,0.137768,0.416969,0.31742,0.1315,0.316413,0.369125,0.182962
144,0,12,1384.39,12,1384.39,2,2,9,262.09,0.135634,0.146166,0.442483,0.275718,0.118775,0.321052,0.374549,0.185624
145,0,12,1379.42,12,1379.42,3,2,33,261.959,0.138141,0.14887,0.432135,0.280854,0.120267,0.32515,0.36661,0.187973
146,0,12,1379.42,12,1392.05,3,0,9,261.828,0.11702,0.12611,0.366148,0.390721,0.0990031,0.267714,0.478532,0.154751
147,0,12,1379.42,12,1392.05,2,2,0,261.697,0.118941,0.128183,0.372244,0.380631,0.109712,0.264521,0.472879,0.152889
148,0,12,1379.42,12,1469.3,3,2,9,261.566,0.128564,0.138555,0.321358,0.411522,0.1214,0.292753,0.416658,0.169188
149,0,12,1379.42,12,1469.3,2,3,0,261.435,0.13075,0.140913,0.326881,0.401457,0.123303,0.297393,0.407453,0.171851
150,0,12,1379.42,12,1469.3,1,1,0,261.305,0.139199,0.150021,0.283284,0.427496,0.126047,0.304065,0.41662,0.153268
151,0,12,1379.42,12,1462.75,3,1,13,261.174,0.141616,0.135124,0.288244,0.435016,0.133076,0.265145,0.439958,0.161821
152,0,12,1379.42,12,1581.28,1,2,9,261.043,0.139038,0.132663,0.283036,0.445263,0.129604,0.284207,0.428583,0.157606
153,0,12,1379.42,12,1581.28,3,1,0,260.913,0.137514,0.142027,0.279974,0.440486,0.131656,0.288752,0.419485,0.160107
154,0,12,1379.42,12,1581.28,1,2,0,260.782,0.151033,0.155991,0.307542,0.385434,0.138383,0.2523,0.441022,0.168295
155,0,12,1379.42,12,1582.96,0,2,9,260.652,0.153997,0.13931,0.313621,0.393072,0.151703,0.276618,0.387178,0.184501
156,0,12,1379.42,12,1545.3,0,2,13,260.522,0.161467,0.138058,0.310854,0.38962,0.153572,0.280059,0.379588,0.186781
157,0,12,1379.42,12,1545.3,0,3,0,260.392,0.180321,0.134933,0.303866,0.38088,0.150567,0.274612,0.391688,0.183134
158,0,12,1379.42,12,1497.84,3,2,13,260.261,0.15941,0.138354,0.31162,0.390616,0.154299,0.281452,0.401473,0.162777
159,0,12,1379.42,12,1497.84,3,0,0,260.131,0.156564,0.13588,0.306098,0.401459,0.151172,0.275782,0.413567,0.15948
160,0,12,1379.42,12,1497.84,2,3,0,260.001,0.170273,0.147774,0.332945,0.349009,0.136531,0.280533,0.420726,0.16221
161,0,12,1379.42,12,1495.36,3,2,13,259.871,0.181979,0.157928,0.287038,0.373055,0.139148,0.285951,0.428886,0.146015
162,0,12,1379.42,12,1407.23,2,2,13,259.741,0.178631,0.155018,0.281783,0.384569,0.136196,0.279924,0.440963,0.142918
163,0,12,1379.42,12,1398.69,2,2,13,259.611,0.174574,0.151494,0.298037,0.375894,0.133284,0.27398,0.452871,0.139865
164,0,12,1379.42,12,1398.69,3,1,0,259.482,0.170809,0.148222,0.313124,0.367844,0.130417,0.268125,0.4646,0.136857
165,0,12,1379.42,12,1398.69,2,2,0,259.352,0.184223,0.159858,0.337756,0.318163,0.136025,0.236534,0.484699,0.142743
166,0,12,1379.42,12,1398.69,0,2,9,259.222,0.197242,0.17115,0.290923,0.340684,0.150572,0.261859,0.429558,0.15801
167,0,12,1379.42,12,1409.38,2,2,9,259.092,0.201101,0.170311,0.289527,0.339061,0.152626,0.26546,0.421747,0.160167
168,0,12,1379.42,12,1409.38,1,2,0,258.963,0.201939,0.171015,0.286536,0.34051,0.154629,0.268973,0.414128,0.16227
169,0,12,1379.42,12,1391.58,3,3,13,258.833,0.206785,0.151065,0.293433,0.348717,0.168202,0.292617,0.362664,0.176517
170,0,12,1379.42,12,1391.58,0,1,0,258.704,0.202971,0.14827,0.288042,0.360717,0.16422,0.285721,0.354132,0.195927
171,0,12,1379.42,12,1532.56,1,1,9,258.575,0.178269,0.152845,0.29697,0.371915,0.172802,0.248329,0.372696,0.206173
172,0,12,1379.42,12,1532.56,3,1,0,258.445,0.176658,0.160417,0.294316,0.368609,0.172182,0.250965,0.371414,0.205439
173,0,12,1379.42,12,1532.56,2,1,0,258.316,0.190381,0.172875,0.317211,0.319534,0.179342,0.219747,0.38692,0.213991
174,0,12,1379.42,12,1532.56,1,0,0,258.187,0.202693,0.184051,0.273022,0.340234,0.185219,0.194112,0.399659,0.22101
175,0,12,1379.42,12,1532.56,0,3,0,258.058,0.208087,0.162285,0.280304,0.349324,0.16555,0.198782,0.409334,0.226334
176,0,12,1379.42,12,1532.56,3,1,0,257.929,0.182674,0.167475,0.2893,0.360551,0.171051,0.205394,0.423012,0.200543
177,0,12,1379.42,12,1532.56,2,1,0,257.8,0.196274,0.179941,0.310867,0.312918,0.175776,0.183358,0.434776,0.20609
178,0,12,1379.42,12,1532.56,0,2,0,257.671,0.208474,0.191122,0.268005,0.332399,0.179682,0.165125,0.444517,0.210676
179,0,12,1379.42,12,1532.56,2,0,0,257.542,0.182875,0.19729,0.276673,0.343163,0.196428,0.180512,0.392743,0.230318
180,0,12,1379.42,12,1532.56,3,3,0,257.413,0.191962,0.207097,0.240679,0.360262,0.175311,0.185239,0.40309,0.23636
181,0,12,1379.42,12,1532.56,3,3,0,257.285,0.20598,0.222223,0.258265,0.313531,0.181475,0.191754,0.417334,0.209437
182,0,12,1379.42,12,1532.56,0,0,0,257.156,0.218703,0.235953,0.274231,0.271113,0.186566,0.197136,0.429113,0.187184
183,0,12,1379.42,12,1602.06,1,2,9,257.028,0.189664,0.244718,0.284426,0.281191,0.168221,0.201566,0.438824,0.191389
