Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,rc103,5,12.0,1285.42,8768,7.438
CLASSIC,rc103,6,11.0,1270.72,13730,6.966
CLASSIC,rc103,7,11.0,1281.72,10289,7.748
CLASSIC,rc103,8,11.0,1283.15,24737,6.966
CLASSIC,rc103,9,11.0,1349.38,13715,6.861
CLASSIC,rc104,1,10.0,1151.81,5877,7.367
CLASSIC,rc104,10,10.0,1139.5,15149,6.866
CLASSIC,rc104,2,10.0,1136.27,10069,6.529
CLASSIC,rc104,3,10.0,1139.5,10138,7.099
CLASSIC,rc104,4,10.0,1138.34,11119,7.14
CLASSIC,rc104,5,10.0,1161.15,4909,6.215
CLASSIC,rc104,6,10.0,1139.61,8155,6.548
CLASSIC,rc104,7,10.0,1159.83,10158,7.072
CLASSIC,rc104,8,10.0,1146.68,22190,7.162
CLASSIC,rc104,9,10.0,1135.52,11171,6.453
CLASSIC,rc105,1,14.0,1552.52,4879,6.719
CLASSIC,rc105,10,14.0,1540.18,19466,6.248
CLASSIC,rc105,2,14.0,1552.05,17262,6.383
CLASSIC,rc105,3,14.0,1546.08,5245,6.883
CLASSIC,rc105,4,14.0,1542.27,15137,6.544
CLASSIC,rc105,5,14.0,1546.63,6751,6.464
CLASSIC,rc105,6,14.0,1543.58,2384,6.566
CLASSIC,rc105,7,14.0,1554.14,13372,6.313
CLASSIC,rc105,8,14.0,1558.32,5578,6.251
CLASSIC,rc105,9,14.0,1547.39,4497,6.915
CLASSIC,rc106,1,12.0,1398.26,24478,5.577
CLASSIC,rc106,10,13.0,1398.24,9800,5.971
CLASSIC,rc106,2,12.0,1405.19,13511,5.644
CLASSIC,rc106,3,12.0,1387.74,11127,5.657
CLASSIC,rc106,4,12.0,1385.92,6295,5.187
CLASSIC,rc106,5,12.0,1395.7,10400,5.23
CLASSIC,rc106,6,12.0,1385.92,22658,5.46
CLASSIC,rc106,7,12.0,1388.96,9551,5.254
CLASSIC,rc106,8,12.0,1385.92,13167,5.129
CLASSIC,rc106,9,12.0,1410.55,6424,5.717
CLASSIC,rc107,1,11.0,1237.97,23340,6.954
CLASSIC,rc107,10,12.0,1252.12,8878,6.94
CLASSIC,rc107,2,11.0,1239.01,13771,6.699
CLASSIC,rc107,3,11.0,1233.21,11425,6.718
CLASSIC,rc107,4,11.0,1252.07,13999,6.736
CLASSIC,rc107,5,11.0,1248.84,11192,6.312
CLASSIC,rc107,6,12.0,1237.42,14784,6.355
CLASSIC,rc107,7,11.0,1244.19,15429,6.503
CLASSIC,rc107,8,11.0,1257.66,18868,6.855
CLASSIC,rc107,9,11.0,1243.67,8787,6.661
CLASSIC,rc108,1,11.0,1117.53,10689,6.6
CLASSIC,rc108,10,10.0,1147.26,9575,6.726
CLASSIC,rc108,2,10.0,1147.26,14495,6.627
CLASSIC,rc108,3,11.0,1139.29,9771,6.988
CLASSIC,rc108,4,11.0,1133.25,15433,7.039
CLASSIC,rc108,5,10.0,1139.82,14987,7.459
CLASSIC,rc108,6,11.0,1135.43,9474,6.717
CLASSIC,rc108,7,11.0,1133.25,22425,6.688
CLASSIC,rc108,8,10.0,1147.26,17606,6.407
CLASSIC,rc108,9,11.0,1118.57,10067,6.527
CLASSIC,rc201,1,4.0,1429.92,20653,5.152
CLASSIC,rc201,10,4.0,1425.87,2122,4.859
CLASSIC,rc201,2,4.0,1463.43,3490,5.082
CLASSIC,rc201,3,4.0,1415.29,1948,4.691
CLASSIC,rc201,4,4.0,1466.66,9217,5.422
CLASSIC,rc201,5,4.0,1433.55,13908,4.98
CLASSIC,rc201,6,4.0,1445.06,9962,5.023
