iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,d_weight_4,r_weight_0,r_weight_1,r_weight_2,r_weight_3
171,20,1759.75,20,1772,4,0,2,182.864,0.199016,0.184857,0.189744,0.212873,0.213511,0.231754,0.278597,0.284363,0.205286
172,20,1759.75,20,1762.78,0,0,5,182.828,0.199265,0.185081,0.189977,0.213147,0.212531,0.232271,0.27842,0.284185,0.205124
173,20,1759.22,20,1759.22,2,2,10,182.791,0.201486,0.18456,0.189444,0.212562,0.211948,0.235696,0.277188,0.282931,0.204185
174,20,1759.22,20,1759.22,0,1,5,182.755,0.199802,0.18301,0.196215,0.210791,0.210182,0.233245,0.274327,0.29038,0.202047
175,20,1749.53,20,1749.53,4,1,10,182.718,0.201919,0.182518,0.195694,0.210239,0.209631,0.232494,0.276647,0.289477,0.201382
176,20,1749.53,20,1749.53,3,1,5,182.682,0.200295,0.181041,0.194117,0.208553,0.215994,0.230001,0.284388,0.286404,0.199208
177,20,1731.58,20,1731.58,4,0,10,182.645,0.199795,0.18058,0.19363,0.210532,0.215464,0.229395,0.286256,0.28568,0.198669
178,20,1731.58,20,1769.53,0,0,2,182.608,0.198163,0.179096,0.192045,0.208817,0.221878,0.237818,0.283141,0.282571,0.19647
179,20,1731.58,20,1769.53,0,1,2,182.572,0.198012,0.179119,0.192077,0.208861,0.221931,0.237999,0.283087,0.282517,0.196397
180,20,1731.58,20,1828.49,1,3,2,182.535,0.197868,0.179141,0.192107,0.208902,0.221982,0.23851,0.281545,0.283147,0.196799
181,20,1731.58,20,1845.33,1,3,2,182.499,0.19772,0.179737,0.191961,0.208752,0.221829,0.238007,0.280975,0.282575,0.198443
182,20,1731.58,20,1843.63,3,1,5,182.462,0.19758,0.180305,0.191821,0.208609,0.221684,0.237527,0.280431,0.282028,0.200015
183,20,1731.58,20,1818.32,0,2,5,182.426,0.197046,0.17981,0.1913,0.210745,0.221098,0.236916,0.282273,0.281327,0.199483
184,20,1731.58,20,1811.24,0,0,5,182.389,0.199522,0.179245,0.190706,0.2101,0.220427,0.236315,0.281581,0.283144,0.19896
185,20,1731.58,20,1811.24,2,0,0,182.353,0.201899,0.178703,0.190135,0.209481,0.219782,0.239519,0.280412,0.281969,0.198099
186,20,1731.58,20,1826.84,4,0,2,182.317,0.202296,0.179043,0.188541,0.209897,0.220224,0.237588,0.281136,0.282699,0.198577
187,20,1731.58,20,1820.49,4,0,5,182.28,0.202591,0.179294,0.18881,0.210207,0.219098,0.237746,0.281091,0.282653,0.19851
